column_name,column_explanation
file_url,Download URL
file_name,Name of the file
album,Name of the Flickr album Ex: espy_17
width_image,Width of the raw image
height_image,Height of the raw image
size_image,Order pair of (width and height)
width_round,Width rounded to the nearest multiple of 250
height_round,Height rounded to the nearest multiple of 250
sal_x_twitter,abscissa (x-coordinate) of the most salient point according to Twitter-SIC
sal_y_twitter,ordinate (y-coordinate) of the most salient point according to Twitter-SIC
top_left_x_twitter,x-coordinate of the top-left crop-box according to Twitter-SIC
top_left_y_twitter,y-coordinate of the top-left crop-box according to Twitter-SIC
crop_width_twitter,width of the crop-box according to Twitter-SIC
crop_height_twitter,height of the crop-box according to Twitter-SIC
confidence_google,The confidence score associated with the saliency crop according to Google-SIC
importance_fraction_google,The importance fraction of the salient region with respect to the original image  according to Google-SIC
top_left_x_google,abscissa (x-coordinate) of the top-left crop-box according to Google-SIC
top_left_y_google,ordinate (y-coordinate) of the top-left crop-box according to Google-SIC
crop_width_google,width of the crop-box according to Google-SIC
crop_height_google,height of the crop-box according to Google-SIC
confidence_apple,The confidence score associated with the saliency crop according to Apple-SIC
sal_x_apple,abscissa (x-coordinate) of the most salient point according to Apple-SIC
sal_y_apple,ordinate (y-coordinate) of the most salient point according to Apple-SIC
top_left_x_apple,abscissa (x-coordinate) of the top-left crop-box according to Apple-SIC
top_left_y_apple,ordinate (y-coordinate) of the top-left crop-box according to Apple-SIC
crop_width_apple,width of the crop-box according to Apple-SIC
crop_height_apple,height of the crop-box according to Apple-SIC
saliency_map_apple,The saliency values associated with the 68x68 sub-sampled image grid cells according to Apple-SIC
mgl,Binary indicator variable that denotes whether this particular image resulted in Male-gaze-like cropping by Twitter's SIC
